iter	Passed	Remaining
0	4	475
1	9	459
2	13	443
3	17	410
4	21	414
5	25	406
6	30	405
7	34	398
8	38	391
9	43	391
10	47	386
11	52	382
12	56	375
13	60	371
14	64	366
15	68	360
16	72	354
17	76	350
18	81	346
19	85	341
20	89	337
21	93	333
22	98	330
23	103	326
24	107	322
25	111	318
26	116	314
27	120	308
28	123	303
29	127	298
30	132	293
31	136	289
32	139	283
33	143	278
34	147	273
35	150	268
36	154	263
37	158	258
38	161	253
39	166	249
40	169	244
41	171	236
42	174	231
43	178	227
44	182	223
45	186	219
46	190	214
47	194	210
48	197	205
49	201	201
50	204	196
51	208	192
52	212	188
53	216	184
54	218	179
55	222	174
56	226	170
57	229	166
58	233	162
59	237	158
60	240	154
61	244	149
62	248	146
63	252	141
64	255	137
65	259	133
66	263	129
67	267	125
68	271	121
69	274	117
70	278	113
71	282	109
72	286	105
73	290	101
74	294	98
75	297	94
76	301	90
77	305	86
78	309	82
79	312	78
80	316	74
81	319	70
82	323	66
83	327	62
84	331	58
85	335	54
86	338	50
87	342	46
88	346	42
89	350	38
90	353	34
91	357	31
92	361	27
93	364	23
94	368	19
95	371	15
96	375	11
97	379	7
98	382	3
99	386	0
